facebook.com, 157.240.28.35
amazon.com, 176.32.98.166
wordpress.com, 192.0.78.9
tudou.com, 106.11.186.1
yahoo.co.jp, 182.22.59.229
sohu.com, 123.125.116.28
msn.com, 13.82.28.61
baidu.com, 123.125.114.144
blogspot.com, 172.217.2.9
microsoft.com, 13.77.161.179
apple.com, 17.172.224.47
hao123.com, 61.135.162.10
windows.com, 104.215.148.63
ebay.com, 66.135.209.52
qq.com, 111.161.64.40
taobao.com, 140.205.94.189
bing.com, 204.79.197.200
sina.com.cn, 202.108.33.107
pps.tv, 101.227.188.170
xunlei.com, 47.98.65.156
56.com, 125.88.156.19
fc2.com, 34.215.167.11
soso.com, 119.28.109.132
163.com, 123.58.180.7
ask.com, 151.101.70.114
adobe.com, 193.104.215.58
twitter.com, 104.244.42.193
mozilla.com, 63.245.208.194
youku.com, 106.11.47.20
sdjjdsaf.com, 
andysayler.com, 138.197.228.157
wmfo.org, 23.92.21.128
sogou.com, 118.191.216.42
tmall.com, 140.205.130.99
ku6.com, 117.50.1.222
rakuten.co.jp, 133.237.61.176
about.com, 151.101.193.121
orkut.com.br, 
paypal.com, 64.4.250.36
paipai.com, 
alipay.com, 110.75.129.5
softonic.com, 35.190.12.174
nifty.com, 222.158.213.148
imageshack.us, 208.94.3.19
cnn.com, 151.101.1.67
tianya.cn, 124.225.65.154
yahoo.com, 98.137.246.8
zynga.com, 143.204.29.66
partypoker.com, 195.72.134.116
hp.com, 15.72.164.74
walmart.com, 161.170.239.170
kugou.com, 119.146.204.176
ebay.de, 66.211.181.20
youdao.com, 61.135.218.30
hotfile.com, 18.207.9.28
qiyi.com, 101.227.188.176
pconline.com.cn, 219.136.245.40
odnoklassniki.ru, 5.61.23.11
jp.msn.com, 13.88.15.24
live.com, 204.79.197.212
wikipedia.org, 208.80.153.224
youtube.com, 172.217.1.206
mywebsearch.com, 74.113.237.222
